,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,type
count,494021.0,494021,494021,494021,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021.0,494021
unique,,3,66,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
top,,icmp,ecr_i,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smurf.
freq,,283602,281400,378440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280790
mean,47.97930249928647,,,,3025.6102959185946,868.5324247349809,4.453251987263699e-05,0.0064329249161472896,1.4169438141293589e-05,0.03451877551763994,0.00015181540865671702,0.1482467344505598,0.010212116488975164,0.00011133129968159248,3.6435698077612086e-05,0.01135174415662492,0.0010829499150845814,0.00010930709423283626,0.001008054313480601,0.0,0.0,0.0013865807323980154,332.2856902844211,292.9065566038691,0.17668665906914852,0.17660880812758986,0.05743340870124959,0.05771894312185114,0.7915473431296286,0.020982387388396636,0.028996803779597343,232.47077755803903,188.66567008285074,0.7537796976247786,0.030905730728006633,0.6019347558101208,0.006683501308649176,0.17675396390030904,0.17644262086023382,0.05811761038498338,0.057411668734728985,
std,707.7464723070951,,,,988218.1010447013,33040.00125198688,0.0066731272179617,0.13480524800467447,0.0055102579267196725,0.7821025819194548,0.01551959690290349,0.35534475622110456,1.7983262575514831,0.01055078813907079,0.00779262207620502,2.0127183255739323,0.09641587868610232,0.011020010195285498,0.03648169000785996,0.0,0.0,0.037211032357075825,213.14741212991757,246.32281740442133,0.3807169563397048,0.38101658447286685,0.23162347378287693,0.23214698137679118,0.38818949304090333,0.08220549289750487,0.14239746702042996,64.74538037228156,106.04043710192772,0.41078097742828223,0.1092591122182303,0.48130925118782153,0.04213287441562768,0.3805930975121571,0.38091944805721534,0.23058950706766462,0.2301403239221949,
min,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25%,0.0,,,,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,46.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50%,0.0,,,,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,510.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
75%,0.0,,,,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,511.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,
max,58329.0,,,,693375640.0,5155468.0,1.0,3.0,3.0,30.0,5.0,1.0,884.0,1.0,2.0,993.0,28.0,2.0,8.0,0.0,0.0,1.0,511.0,511.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,255.0,255.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
