"","fc.date","fc_name","fc_var","fc_value"
"max.1",2021-09-23,"mean_prev_seven","MAX",24.0666666666667
"max.2",2021-09-24,"mean_prev_seven","MAX",24.0666666666667
"max.3",2021-09-25,"mean_prev_seven","MAX",24.0666666666667
"max.4",2021-09-26,"mean_prev_seven","MAX",24.0666666666667
"max.5",2021-09-27,"mean_prev_seven","MAX",24.0666666666667
"max.6",2021-09-28,"mean_prev_seven","MAX",24.0666666666667
"max.7",2021-09-29,"mean_prev_seven","MAX",24.0666666666667
"min.1",2021-09-23,"mean_prev_seven","MIN",12.2166666666667
"min.2",2021-09-24,"mean_prev_seven","MIN",12.2166666666667
"min.3",2021-09-25,"mean_prev_seven","MIN",12.2166666666667
"min.4",2021-09-26,"mean_prev_seven","MIN",12.2166666666667
"min.5",2021-09-27,"mean_prev_seven","MIN",12.2166666666667
"min.6",2021-09-28,"mean_prev_seven","MIN",12.2166666666667
"min.7",2021-09-29,"mean_prev_seven","MIN",12.2166666666667
"prcp.1",2021-09-23,"mean_prev_seven","P_PRCP",0.333333333333333
"prcp.2",2021-09-24,"mean_prev_seven","P_PRCP",0.333333333333333
"prcp.3",2021-09-25,"mean_prev_seven","P_PRCP",0.333333333333333
"prcp.4",2021-09-26,"mean_prev_seven","P_PRCP",0.333333333333333
"prcp.5",2021-09-27,"mean_prev_seven","P_PRCP",0.333333333333333
"prcp.6",2021-09-28,"mean_prev_seven","P_PRCP",0.333333333333333
"prcp.7",2021-09-29,"mean_prev_seven","P_PRCP",0.333333333333333
